source,url_hash,url,title,published,first_seen_utc
himalayantimes,00d7d8c1a5932af5,https://thehimalayantimes.com/nepal/rpp-opts-out-of-bagmati-power-game-says-no-deal-without-central-nod,"RPP opts out of Bagmati power game, says no deal without central nod",,2026-08-09T06:55:13+00:00
himalayantimes,043081717803edac,https://thehimalayantimes.com/business/indrive-launches-creator-fellowship-to-fund-six-original-content-projects-in-nepal,"inDrive launches creator fellowship, to fund six original content projects in Nepal",,2026-08-09T06:55:13+00:00
himalayantimes,07b52d920a4b2e0d,https://thehimalayantimes.com/business/subisu-becomes-internet-partner-of-sudurpaschim-royals,Subisu becomes Internet Partner of Sudurpaschim Royals,,2026-08-14T10:40:26+00:00
himalayantimes,08323acccbecb6c6,https://thehimalayantimes.com/nepal/silent-for-years-hetauda-textile-industrys-looms-start-running-again,"Silent for years, Hetauda Textile Industry's looms start running again",,2026-08-09T06:55:13+00:00
himalayantimes,0875d22e1eab37fc,https://thehimalayantimes.com/business/pmo-pressure-pushes-smart-telecom-case-to-court-despite-legal-objections,PMO pressure pushes Smart Telecom case to court despite legal objections,,2026-08-13T10:45:16+00:00
himalayantimes,123e654fdae45bea,https://thehimalayantimes.com/business/high-remittance-low-export-are-core-problems,"'High remittance, low export are core problems'",,2026-08-12T14:35:54+00:00
himalayantimes,188f371321e809a9,https://thehimalayantimes.com/business/proton-nepal-launches-redefine-your-everyday-campaign-for-emas-5,Proton Nepal launches 'Redefine Your Everyday' campaign for e.MAS 5,,2026-08-21T10:07:26+00:00
himalayantimes,1c600a8985a0e225,https://thehimalayantimes.com/nepal/nada-auto-show-to-begin-september-25-with-50-early-bird-ticket-discount,NADA Auto Show to begin September 25 with 50% early-bird ticket discount,,2026-08-09T06:55:13+00:00
himalayantimes,1ce78d6a2ba51239,https://thehimalayantimes.com/business/nada-auto-show-2026-to-be-held-from-august-25-to-30,NADA Auto Show 2026 to be held from August 25 to 30,,2026-08-20T14:08:01+00:00
himalayantimes,1eb0378cb59d2f42,https://thehimalayantimes.com/business/property-transaction-revenue-hits-record-high-ahead-of-capital-gains-tax-hike,Property transaction revenue hits record high ahead of capital gains tax hike,,2026-08-09T06:55:13+00:00
himalayantimes,1f766b67089e15e2,https://thehimalayantimes.com/nepal/three-arrested-in-kathmandu-for-online-betting-crypto-transactions,"Three arrested in Kathmandu for online betting, crypto transactions",,2026-08-09T06:55:13+00:00
himalayantimes,2849e00058a1c0b9,https://thehimalayantimes.com/business/dhaubadi-iron-mine-plans-extraction-of-96-million-tonnes-of-ore,Dhaubadi iron mine plans extraction of 96 million tonnes of ore,,2026-08-20T10:06:39+00:00
himalayantimes,291c54775f44e1e8,https://thehimalayantimes.com/business/proton-electric-suvs-draw-customer-interest-at-naima-nepal-mobility-expo,Proton electric SUVs draw customer interest at NAIMA Nepal Mobility Expo,,2026-08-18T10:04:23+00:00
himalayantimes,2c78290a7f8e90c1,https://thehimalayantimes.com/business/gold-price-drops-rs-4300-per-tola-silver-also-declines,"Gold price drops Rs 4,300 per tola; silver also declines",,2026-08-09T06:55:13+00:00
himalayantimes,307a60211767ad9a,https://thehimalayantimes.com/business/gold-price-jump-rs-5400-per-tola-silver-also-gains,"Gold price jump Rs 5,400 per tola; Silver also gains",,2026-08-09T06:55:13+00:00
himalayantimes,31ee26464187bfe6,https://thehimalayantimes.com/business/from-rs-10-crore-loss-to-rs-3-crore-profit-nepal-aushadhi-limiteds-turnaround-after-25-years,From Rs 10 crore loss to Rs 3 crore profit: Nepal Aushadhi Limited's turnaround after 25 years,,2026-08-09T06:55:13+00:00
himalayantimes,344665fe2bed2950,https://thehimalayantimes.com/business/samsung-launches-galaxy-z-fold8-series-in-nepal,Samsung launches Galaxy Z Fold8 series in Nepal,,2026-08-18T10:04:23+00:00
himalayantimes,37a1e37866c4bd38,https://thehimalayantimes.com/nepal/smugglers-get-creative-modified-bicycles-used-to-transport-stolen-sal-timber-in-rautahat,Smugglers get creative: Modified bicycles used to transport stolen sal timber in Rautahat,,2026-08-09T06:55:13+00:00
himalayantimes,3ab99657c170b1f7,https://thehimalayantimes.com/environment/rain-to-continue-across-nepal-as-far-west-temperatures-climb-to-37c,Rain to continue across Nepal as far-west temperatures climb to 37°C,,2026-08-09T06:55:13+00:00
himalayantimes,3ad19288effc9056,https://thehimalayantimes.com/business/nepali-agencies-win-17-awards-at-flame-awards-asia-2026,Nepali agencies win 17 awards at Flame Awards Asia 2026,,2026-08-13T10:45:16+00:00
himalayantimes,3e55999de6937ffa,https://thehimalayantimes.com/business/naimas-vision-goes-beyond-vehicles-to-build-a-smarter-mobility-ecosystem,NAIMA's vision goes beyond vehicles to build a smarter mobility ecosystem,,2026-08-14T14:30:35+00:00
himalayantimes,3e66e1cdbe4fe51b,https://thehimalayantimes.com/business/nepals-shinta-mani-mustang-crowned-worlds-best-luxury-hotel,Nepal's Shinta Mani Mustang crowned world's best luxury hotel,,2026-08-09T06:55:13+00:00
himalayantimes,409b8003c556b236,https://thehimalayantimes.com/business/gold-price-falls-rs-4600-per-tola,"Gold price falls Rs 4,600 per tola",,2026-08-14T10:40:26+00:00
himalayantimes,42ae92f84e1c3097,https://thehimalayantimes.com/nepal/seven-arrested-in-birgunj-for-allegedly-stealing-fuel-from-tankers,Seven arrested in Birgunj for allegedly stealing fuel from tankers,,2026-08-09T06:55:13+00:00
himalayantimes,438f764cc62a35c9,https://thehimalayantimes.com/nepal/nine-month-search-ends-as-five-yalung-ri-climbers-bodies-recovered,Nine-month search ends as five Yalung Ri climbers' bodies recovered,,2026-08-09T06:55:13+00:00
